Ilha	Area	Nspecies	Idade	LogArea	LogSpecies	LogIdade
Albemarle	5824.9	325	690	3.765	2.512	2.839
Charles	165.8	319	800	2.219	2.504	2.903
Chatham	505.1	306	700	2.703	2.486	2.845
James	525.8	224	300	2.721	2.35	2.477
Indefatigable	1007.5	193	600	3.003	2.286	2.778
Abingdon	51.8	119	400	1.714	2.076	2.602
Duncan	18.4	103	950	1.265	2.013	2.978
Narborough	634.6	80	550	2.802	1.903	2.74
Hood	46.6	79	700	1.669	1.898	2.845
Seymour	2.6	52	250	0.413	1.716	2.398
Barringon	19.4	48	400	1.288	1.681	2.602
Gardner	0.5	48	700	-0.286	1.681	2.845
Bindloe	116.6	47	400	2.067	1.672	2.602
Jervis	4.8	42	550	0.685	1.623	2.74
Tower	11.4	22	200	1.057	1.342	2.301
Wenman	4.7	14	100	0.669	1.146	2
Culpepper	2.3	7	300	0.368	0.845	2.477
