"ID"	"ilha"	"arquipelago"	"riqueza"	"area"	"produtividade"	"populacao"	"habitat"	"montanha"	"mamiferos"	"temperatura"	"precipitacao"
"ilha_1"	"costeira"	"medio"	21	1.5087	1.56902688955761	268.031671103477	2	"nao"	7	24.1933762254453	2125.20718023926
"ilha_10"	"costeira"	"medio"	27	22.4316	4.55725222221169	258.656938287844	2	"nao"	9	21.8141269948317	1623.75248617488
"ilha_11"	"costeira"	"pequeno"	23	41.0562	2.18600388782851	281.416830078952	3	"sim"	10	18.3467688026033	1995.02526909787
"ilha_12"	"oceanica"	"pequeno"	10	2134.7332	2012.82324535348	144.750322380668	5	"sim"	6	11.3879588577913	1655.79271629811
"ilha_13"	"costeira"	"medio"	34	1004.7454	244.139993190494	515.503004854057	4	"sim"	13	23.9385601352009	1497.28073470237
"ilha_14"	"oceanica"	"medio"	13	39.2341	3.1691863774652	579.321984960029	3	"sim"	3	23.2218130213108	939.400202493088
"ilha_15"	"costeira"	"grande"	43	38.921	18.3670130249801	388.514460475834	2	"sim"	9	20.2435997667203	2212.13961814418
"ilha_16"	"oceanica"	"grande"	12	6.1152	4.39593457524108	231.500188122166	3	"sim"	3	11.7053042395868	1404.58324086324
"ilha_17"	"oceanica"	"pequeno"	13	316.7804	14.2898955177022	156.419011791717	4	"sim"	5	22.1668290379116	1085.7980933207
"ilha_18"	"costeira"	"medio"	32	78.6445	35.7547446364631	403.410302766972	3	"sim"	11	16.9711004478642	2765.37000536215
"ilha_19"	"oceanica"	"pequeno"	6	68.0094	22.3480640231015	430.751767607046	4	"sim"	5	16.3366279718282	757.542299675128
"ilha_2"	"oceanica"	"medio"	26	1953.2734	10869.0943591971	235.639481521533	4	"sim"	6	24.8141120794271	1408.76771770045
"ilha_20"	"costeira"	"medio"	27	58.2051	8.82259998532601	186.333897405514	3	"sim"	11	20.5205149234749	1714.3420351114
"ilha_21"	"costeira"	"medio"	19	0.038	0.0337470793980137	258.797817109957	0	"nao"	4	22.4709754672556	1751.35981931035
"ilha_22"	"oceanica"	"pequeno"	4	49.9127	1.86515380369014	81.5003115437835	5	"sim"	4	18.068830544106	2524.46369963619
"ilha_23"	"costeira"	"medio"	26	0.9285	0.935752751485799	617.472685555787	1	"nao"	7	15.3267574764161	1574.08979144277
"ilha_24"	"oceanica"	"pequeno"	5	11.6257	22.9904452674991	319.248108178671	4	"sim"	3	24.2728448490443	2060.5453848985
"ilha_25"	"costeira"	"medio"	45	1059.2659	1994.42837725477	658.485623932851	4	"sim"	13	19.9904511603182	1419.37365618704
"ilha_26"	"costeira"	"grande"	49	240.5713	33.1558904014054	323.68890592993	3	"sim"	12	26.8000891687658	2385.1877805444
"ilha_27"	"oceanica"	"grande"	7	0.5536	0.573393331598524	204.885027986303	2	"nao"	2	8.6027404730853	1905.87983250417
"ilha_28"	"oceanica"	"medio"	10	38.3521	7.40732316180193	320.326531672447	4	"sim"	3	23.7467616254973	1492.51345461741
"ilha_29"	"oceanica"	"grande"	10	0.7555	0.813998846169693	401.359716824926	2	"nao"	2	13.3712594433624	2171.79441273387
"ilha_3"	"costeira"	"pequeno"	24	173.7844	256.657394818433	315.84537568229	3	"sim"	12	7.35786430862833	1044.91813329935
"ilha_30"	"oceanica"	"medio"	3	0.022	0.020859198090468	417.514420209039	1	"nao"	0	26.3462927525991	1877.552096856
"ilha_31"	"costeira"	"medio"	33	30.6076	95.8751226728089	223.553186632809	2	"nao"	9	21.4811613155206	2056.16592505526
"ilha_32"	"costeira"	"medio"	23	0.6111	0.75357555555389	281.731148281989	1	"nao"	7	9.41448793570211	2282.89702501647
"ilha_33"	"oceanica"	"medio"	5	0.415	0.778544718179451	352.147728779699	2	"nao"	2	22.3181811360015	1870.31975872574
"ilha_34"	"oceanica"	"pequeno"	5	7.446	1.54215136578019	281.791276258807	4	"sim"	3	25.6176743199158	299.024106362011
"ilha_35"	"oceanica"	"medio"	11	15.0694	3.8389373445192	433.022555100921	3	"sim"	3	12.140163054514	2221.827251476
"ilha_36"	"oceanica"	"grande"	11	2.9325	2.96278827267771	392.784954072912	2	"nao"	2	20.8937766458445	1868.04005804788
"ilha_37"	"costeira"	"pequeno"	19	55.4271	54.2160907117219	209.794225243864	3	"sim"	11	15.1932909733744	2447.49646754122
"ilha_38"	"costeira"	"medio"	27	12.8813	55.0518154668389	433.986491338831	2	"nao"	8	23.2038458026387	2117.39952753604
"ilha_39"	"costeira"	"grande"	39	14.4347	10.5842769872252	308.038608893929	2	"nao"	8	20.9496211120429	1393.65044311942
"ilha_4"	"oceanica"	"medio"	9	6.4775	17.064843318279	200.292821750234	3	"sim"	3	16.1489293347845	1552.19636011128
"ilha_40"	"costeira"	"medio"	30	8.4741	6.79309945598083	541.038860425095	2	"nao"	8	23.091882265746	1533.25646236058
"ilha_41"	"costeira"	"medio"	59	32152.1397	2931.36305993985	402.667814618762	5	"sim"	14	25.9943099440637	1610.88289751147
"ilha_42"	"oceanica"	"grande"	56	3306.4761	17.2540189454914	229.007418083897	4	"sim"	6	10.6839538434528	1627.91624818198
"ilha_43"	"costeira"	"medio"	34	45.3102	10.6866594057344	353.520959270386	3	"sim"	10	19.0438859360787	299.967648558579
"ilha_44"	"oceanica"	"medio"	12	17.8902	3.46359900082189	655.957875877477	3	"sim"	3	28.0441379186124	2323.62796401195
"ilha_45"	"oceanica"	"pequeno"	6	39.5796	21.4522912289514	265.705510602929	4	"sim"	4	12.1247142092829	794.978579276749
"ilha_46"	"costeira"	"pequeno"	13	0.102	0.774453088799586	472.276109444008	1	"nao"	5	18.7185676167953	3050.00742374948
"ilha_47"	"oceanica"	"grande"	17	71.4711	18.8513903532501	290.933062371372	3	"sim"	5	26.5139286490451	1200.82319212245
"ilha_48"	"costeira"	"grande"	51	460.8537	792.5859494455	451.646072392795	3	"sim"	12	16.7407296677474	1197.20875949364
"ilha_49"	"costeira"	"medio"	47	527.1999	58.5133062812247	546.839713834654	3	"sim"	12	28.5666184320554	1537.30684970965
"ilha_5"	"costeira"	"medio"	44	253.8921	37.164742147074	276.451568783198	3	"sim"	12	19.6444792966703	1053.3569516389
"ilha_50"	"costeira"	"pequeno"	15	0.8219	0.857941639608297	485.63303574086	2	"nao"	7	18.6252797348043	2073.50375299487
"ilha_51"	"oceanica"	"medio"	8	20.5461	24.7108214195764	227.982551927996	4	"sim"	3	28.654463807953	1975.55295271476
"ilha_52"	"costeira"	"medio"	21	0.1591	0.297700189773807	493.806739458315	1	"nao"	6	14.0976856770196	2103.08236987128
"ilha_53"	"oceanica"	"grande"	26	505.9703	93.2522399587203	386.175274944393	4	"sim"	5	22.3982481838188	572.266134285099
"ilha_54"	"oceanica"	"medio"	13	138.6022	13.7209150119085	438.000705914911	4	"sim"	5	16.1509873021138	1873.42458321253
"ilha_55"	"costeira"	"medio"	18	0.855	0.952532360760944	320.34642725291	1	"nao"	7	28.5456687626377	1019.21971144729
"ilha_56"	"costeira"	"pequeno"	20	46.8806	5.05197913112308	250.528071358485	3	"sim"	11	25.2606033549175	1624.16904496867
"ilha_57"	"oceanica"	"pequeno"	5	2.9721	1.67543891782402	0	3	"nao"	2	22.208654776222	2076.67670533991
"ilha_58"	"costeira"	"grande"	36	2.0224	1.84002452140991	361.626004955196	1	"nao"	7	20.3852563275998	902.179036246645
"ilha_59"	"costeira"	"pequeno"	21	14.3774	1.55233023081884	206.735229933162	2	"nao"	8	22.798473801768	899.165031956213
"ilha_6"	"oceanica"	"grande"	30	440.9547	102.831450053676	566.137087113634	4	"sim"	5	22.6954941229373	876.466133868846
"ilha_60"	"oceanica"	"pequeno"	4	2.5413	3.43435243878289	319.635648588474	3	"nao"	2	12.0252077933698	3244.36795593316
"ilha_61"	"costeira"	"medio"	30	30.7294	9.25610984925044	548.060844017555	2	"nao"	9	28.0519673123922	2410.04090223625
"ilha_62"	"costeira"	"medio"	22	2.6791	2.23955392126426	273.009974395849	2	"nao"	8	22.7972476701859	1634.73362180607
"ilha_63"	"oceanica"	"grande"	5	0.0919	0.220916913365765	339.127869432586	2	"nao"	1	11.1351806422665	1609.10905099512
"ilha_64"	"oceanica"	"grande"	59	572.0235	37.8715110518844	844.32903261596	3	"sim"	5	10.3098791296645	575.222715281791
"ilha_65"	"costeira"	"medio"	26	25.5101	12.5879180155689	107.6996741724	3	"nao"	9	22.9283171984626	1564.35536370045
"ilha_66"	"costeira"	"medio"	28	6.9727	4.72674309207217	575.109301369543	2	"nao"	8	18.6109906707081	1233.82505631994
"ilha_67"	"costeira"	"medio"	29	7.257	9.94462094650947	509.595094029864	2	"nao"	8	34.7271802683524	1355.54573573248
"ilha_68"	"costeira"	"medio"	27	52.5591	1.35295344126142	172.777273726609	3	"sim"	11	10.5055238686954	1728.08689513765
"ilha_69"	"oceanica"	"grande"	5	0.0725	0.0628487810842749	422.831227221364	2	"nao"	1	17.8416771050346	1633.83300675769
"ilha_7"	"costeira"	"grande"	31	1.5196	1.1209449406856	208.334827778985	1	"nao"	7	7.57217075147672	1439.16259994598
"ilha_70"	"costeira"	"pequeno"	16	2.1084	1.3128821882556	264.598280768602	2	"nao"	7	10.1811886804773	1799.54398162334
"ilha_71"	"oceanica"	"medio"	40	20914.9849	1318754.80352495	444.330251204479	5	"sim"	6	31.4313923423448	1122.87079192594
"ilha_72"	"oceanica"	"grande"	79	139435.7497	928.652183321743	226.819883237466	5	"sim"	7	21.8250957922008	2473.03609494973
"ilha_73"	"oceanica"	"medio"	9	38.9197	14.0723937154586	202.336274016681	4	"sim"	3	31.5862825784006	2006.47678248613
"ilha_74"	"oceanica"	"pequeno"	18	7261.0053	148.853170756336	366.434643217404	5	"sim"	6	24.0760428322838	1890.97855235813
"ilha_75"	"oceanica"	"grande"	17	55.0138	8.20754649412721	127.754567441529	3	"sim"	4	19.4357046114712	1288.0213837569
"ilha_76"	"oceanica"	"medio"	6	3.3923	2.90855105727246	197.11694823439	3	"sim"	2	17.9376067539844	1161.45482582608
"ilha_77"	"costeira"	"medio"	34	161.7334	20.2465851876293	111.08282010244	3	"sim"	12	17.9556437709822	1663.89723700129
"ilha_78"	"oceanica"	"medio"	10	29.007	7.89641577354117	431.157257180117	3	"sim"	3	24.1475247628645	671.217717887414
"ilha_79"	"oceanica"	"pequeno"	4	1.0067	1.0023067688745	664.703156979041	3	"nao"	2	28.6629350009749	1474.29853181431
"ilha_8"	"oceanica"	"pequeno"	6	7.3737	2.76264385235449	586.931988232556	3	"sim"	3	22.5645097310635	2491.33418784332
"ilha_80"	"oceanica"	"grande"	22	268.1284	23.7086677012976	344.638426721559	4	"sim"	5	20.2219210299506	1956.95144386914
"ilha_9"	"costeira"	"medio"	18	0.0583	0.0406279474639818	512.55275932073	0	"nao"	4	32.6852642225371	1535.63453548377
